Year,County,Hospital,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Longitude,Latitude
2016,Alameda,Alameda Hospital,3,17,16.1,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,9,74,23.6,Worse,-122.253,37.76266
2016,Alameda,Alameda Hospital,5,9,48.9,Worse,-122.253,37.76266
2016,Alameda,Alameda Hospital,4,65,15.2,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,5,83,4.6,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,2,111,2.1,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,0,31,0,As Expected,-122.253,37.76266
2016,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2016,Alameda,Alameda Hospital,2,76,3,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,0,10,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,5,107,11.6,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,2,5,29.3,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,3,102,6.1,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2017,Alameda,Alameda Hospital,0,3,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,0,85,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,5,137,3.4,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,0,31,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2017,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2017,Alameda,Alameda Hospital,5,98,6.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,1,12,13.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,6,102,8.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,2,12,20.2,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,4,88,5.3,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2018,Alameda,Alameda Hospital,0,3,0,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,1,63,1.4,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,6,203,2.8,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,1,28,4.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2018,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2018,Alameda,Alameda Hospital,1,110,0.9,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,0,11,0,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,6,106,8.9,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,3,8,38.8,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,2,97,2.7,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,2,70,7.3,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,2,205,1,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,0,30,0,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,3,113,3.6,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,0,4,0,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,1,84,3.3,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,0,3,0,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,1,81,2,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,,,,,-122.253,37.76266
